"doyb","doya","type","count","meana","meanb","maxevi","meang1","meang2","meanDOP","meanDOH","meandoy","meanDSWR","meanTemp","meanLSWi","meanTmax","meanEVI_uncor","predictedDOP","predictedDOH"
296,32,"2015_Way5",37,0.061,0.12,0.523,0.462,0.403,97,239,200,214.352243243243,291.983648648649,0.19027027027027,294.582864864865,0.253,102.299490153008,232.253655474389
296,48,"2015_WestHarvey",37,0.035,0.184,0.591,0.556,0.407,142,259,208,214.174972972973,291.905459459459,0.197891891891892,294.495459459459,0.272864864864865,120.65138349325,254.146235036984
296,48,"2015_WestShop40",37,0.129,0.152,0.497,0.368,0.345,96,227,200,214.352243243243,291.983648648649,0.171540540540541,294.582864864865,0.262783783783784,100.439076381859,229.766892641467
296,8,"2016_Baker20",37,0.09,0.146,0.699,0.609,0.553,115,251,216,216.667297297297,292.765432432432,0.083027027027027,295.213621621622,0.286861111111111,124.08262277918,258.807773545673
296,16,"2016_Baker30",37,0.098,0.154,0.64,0.542,0.486,114,247,216,216.667297297297,292.765432432432,0.0868918918918919,295.213621621622,0.277527777777778,120.954748111972,254.973296063432
296,16,"2016_Baker40",37,0.078,0.14,0.617,0.539,0.477,115,251,216,216.667297297297,292.765432432432,0.104756756756757,295.213621621622,0.268361111111111,119.067649705181,252.802307299313
296,16,"2016_Baker50",37,0.078,0.14,0.617,0.539,0.477,115,249,216,216.667297297297,292.765432432432,0.104756756756757,295.213621621622,0.268361111111111,119.067649705181,252.802307299313
296,16,"2016_BottomOfRes",37,0.079,0.154,0.657,0.578,0.503,116,250,216,216.667297297297,292.765432432432,0.108054054054054,295.213621621622,0.273777777777778,123.158420849424,257.632154083302
296,16,"2016_BransfordEast",37,0.093,0.249,0.578,0.485,0.329,134,273,216,217.189405405405,292.969486486487,0.181243243243243,295.409351351351,0.338166666666667,129.024785763885,263.99162609868
296,8,"2016_CarrNorth",37,0.099,0.191,0.608,0.509,0.417,118,251,216,217.068594594595,292.803378378378,0.128405405405405,295.225918918919,0.29675,123.436713586744,257.688040881725
296,16,"2016_CarrSouth",37,0.074,0.175,0.63,0.556,0.455,129,251,216,217.068594594595,292.803378378378,0.096,295.225918918919,0.294222222222222,124.366920472319,258.931422298186
296,8,"2016_CottonPatch",37,0.132,0.201,0.575,0.443,0.374,146,288,224,216.667297297297,292.765432432432,0.0938378378378378,295.213621621622,0.298333333333333,125.424021111061,260.244292819839
296,8,"2016_EastHarvey",37,0.156,0.221,0.581,0.425,0.36,118,272,208,217.068594594595,292.803378378378,0.0627297297297297,295.225918918919,0.313555555555556,117.134462071625,249.622977467852
296,8,"2016_Flat",37,0.079,0.189,0.58,0.501,0.391,126,269,216,217.068594594595,292.803378378378,0.152459459459459,295.225918918919,0.279666666666667,122.703657246548,256.818695363624
296,16,"2016_Frog40",74,0.11,0.155,0.504,0.394,0.349,109,245,220,216.667297297297,292.765432432432,0.0450810810810811,295.213621621622,0.248333333333333,114.422189165745,247.200871441642
296,16,"2016_Hailey",74,0.086,0.354,0.506,0.42,0.152,146,271,212,217.068594594595,292.803378378378,0.194216216216216,295.225918918919,0.338666666666667,135.416565913926,270.792347661546
296,16,"2016_Hole40",37,0.095,0.127,0.469,0.374,0.342,109,246,216,216.667297297297,292.765432432432,0.0470810810810811,295.213621621622,0.264333333333333,107.385699623571,238.805701535951
296,8,"2016_HQShop",37,0.13,0.17,0.617,0.487,0.447,109,243,216,216.667297297297,292.765432432432,0.0790540540540541,295.213621621622,0.295666666666667,119.53483617363,253.139057309221
296,8,"2016_HwyShop40",37,0.132,0.178,0.654,0.522,0.476,109,246,208,216.667297297297,292.765432432432,0.125594594594595,295.213621621622,0.307416666666667,117.840083156702,250.799626810495
296,16,"2016_Judys",37,0.096,0.273,0.66,0.564,0.387,119,255,208,216.667297297297,292.765432432432,0.164513513513514,295.213621621622,0.343194444444444,131.970220836608,267.129816400389
296,8,"2016_Kelly1",37,0.076,0.138,0.693,0.617,0.555,116,251,208,217.068594594595,292.803378378378,0.20227027027027,295.225918918919,0.263027777777778,118.788304909731,252.24629408923
296,8,"2016_Kelly10",37,0.085,0.167,0.704,0.619,0.537,137,274,224,217.189405405405,292.969486486487,0.196918918918919,295.409351351351,0.299944444444444,132.060560385643,268.508855184339
296,8,"2016_Kelly11",37,0.093,0.226,0.603,0.51,0.377,152,275,224,217.189405405405,292.969486486487,0.186513513513514,295.409351351351,0.308805555555556,132.567192020848,268.673825277886
296,16,"2016_Kelly2",37,0.079,0.154,0.657,0.578,0.503,116,261,216,217.068594594595,292.803378378378,0.108054054054054,295.225918918919,0.273777777777778,123.158420849424,257.632154083302
296,8,"2016_Kelly3",37,0.049,0.175,0.671,0.622,0.496,117,260,208,217.068594594595,292.803378378378,0.215972972972973,295.225918918919,0.279805555555556,123.596369385147,257.767611261831
296,8,"2016_Kelly5",37,0.049,0.175,0.671,0.622,0.496,117,260,208,217.068594594595,292.803378378378,0.215972972972973,295.225918918919,0.279805555555556,123.596369385147,257.767611261831
296,8,"2016_Kelly6",37,0.096,0.174,0.62,0.524,0.446,117,264,216,216.796540540541,292.891297297297,0.150756756756757,295.366324324324,0.271277777777778,122.286424617536,256.428748857014
296,16,"2016_Kelly7",37,0.055,0.163,0.71,0.655,0.547,117,262,216,217.189405405405,292.969486486487,0.220513513513514,295.409351351351,0.283472222222222,128.966912775737,264.572352770721
296,64,"2016_Kelly8",37,0.11,0.149,0.65,0.54,0.501,139,274,216,217.189405405405,292.969486486487,0.165351351351351,295.409351351351,0.263805555555556,120.223943630207,254.129361278115
296,16,"2016_Kelly9",37,0.055,0.163,0.71,0.655,0.547,140,274,216,217.189405405405,292.969486486487,0.220513513513514,295.409351351351,0.283472222222222,128.966912775737,264.572352770721
296,8,"2016_Mid40Hwy",37,0.093,0.136,0.611,0.518,0.475,109,248,208,216.667297297297,292.765432432432,0.107891891891892,295.213621621622,0.276055555555556,112.484853594309,244.655946354233
296,8,"2016_Mid40west",37,0.093,0.136,0.611,0.518,0.475,109,245,208,216.667297297297,292.765432432432,0.107891891891892,295.213621621622,0.276055555555556,112.484853594309,244.655946354233
296,8,"2016_MidBransford",37,0.088,0.205,0.736,0.648,0.531,134,272,216,217.189405405405,292.969486486487,0.260432432432432,295.409351351351,0.324,133.648797890576,269.903604387578
296,16,"2016_Morris",37,0.088,0.255,0.551,0.463,0.296,146,271,224,217.068594594595,292.803378378378,0.157918918918919,295.225918918919,0.317083333333333,133.218768503562,269.240617033711
296,16,"2016_NewGround",37,0.044,0.197,0.655,0.611,0.458,117,269,224,216.667297297297,292.765432432432,0.0917837837837838,295.213621621622,0.280194444444444,135.221124644312,272.095320551867
296,8,"2016_Pops",37,0.063,0.148,0.629,0.566,0.481,118,252,216,217.068594594595,292.803378378378,0.132324324324324,295.225918918919,0.275166666666667,121.693809407986,255.910403535623
296,8,"2016_SeedRice",37,0.081,0.187,0.602,0.521,0.415,139,270,216,217.068594594595,292.803378378378,0.174837837837838,295.225918918919,0.279055555555556,123.684568591037,258.017350527645
296,8,"2016_Shanes",74,0.109,0.247,0.521,0.412,0.274,119,253,220,217.068594594595,292.803378378378,0.118,295.225918918919,0.301222222222222,126.718184756206,261.340756747761
296,8,"2016_SIShop",37,0.082,0.147,0.734,0.652,0.587,118,253,200,217.068594594595,292.803378378378,0.126189189189189,295.225918918919,0.280444444444444,117.215227536518,250.04610768068
